POPID	Name	Neighborhood
POP-00804	Yasmin Robinson	Lake Merritt
POP-00805	Latasha Jefferson	Rockridge
POP-00806	Nakia Pena	Temescal
POP-00807	Daphne Choi	Uptown
POP-00808	Sahana Joshi	KONO
POP-00809	Hazel Lockhart	Laurel
POP-00810	An Lopez	Fruitvale
POP-00811	Inez Mendoza	Lake Merritt
POP-00812	Millicent Kumar	Chinatown
POP-00813	Akemi Fukuda	Uptown
POP-00814	Margarita Tanaka	Jack London
POP-00815	Amal Nair	KONO
POP-00816	Daphne Stafford	Chinatown
POP-00817	Habiba Ward	West Oakland
POP-00818	Latasha Rivera	Rockridge
POP-00819	Jada Alvarez	Temescal
POP-00820	Akua Pinckney	Piedmont Ave
POP-00821	Funmi Ng	Downtown
POP-00822	Patrice Rao	Chinatown
POP-00823	Genevieve Wu	Laurel
POP-00824	Padma Hong	Jack London
POP-00825	Imogen Soto	Uptown
POP-00826	Chiyo Vasquez	Piedmont Ave
POP-00827	Gloria Liu	Rockridge
POP-00828	Sumiko Mensah	Lake Merritt
POP-00829	Theodora Donovan	Fruitvale
POP-00830	Sandra Velazquez	Piedmont Ave
POP-00831	Yvette Hwang	Uptown
POP-00832	Matilda Diop	Lake Merritt
POP-00833	Kasumi Verma	Fruitvale
POP-00834	Alma Zhang	Laurel
POP-00835	Mei-Lin Kang	Jack London
POP-00836	Cristina Booker	Downtown
POP-00837	Fang Crawford	Laurel
POP-00838	Lillian Gebre	Fruitvale
POP-00839	Manju Chung	Lake Merritt
POP-00840	Soledad Coleman	Rockridge
POP-00841	Shanice Sanchez	Piedmont Ave
POP-00842	Wanjiru Liu	Rockridge
POP-00843	Rasha Mensah	Lake Merritt
POP-00844	Harmony Gupta	Laurel
POP-00845	Crystal Oh	KONO
POP-00846	Karima Pinckney	Downtown
POP-00847	Caroline Cabrera	Uptown
POP-00848	Tanisha Freeman	Temescal
POP-00849	Rosa Foster	Rockridge
POP-00850	Charlene Underwood	West Oakland
POP-00851	Maeve Pillai	Chinatown
POP-00852	Naoko Morales	Temescal
POP-00853	Winifred Jordan	Lake Merritt
POP-00854	Kasumi Norwood	West Oakland
POP-00855	Estrella Mehta	Chinatown
POP-00856	Emiko Suzuki	KONO
POP-00857	Juliet Choi	Downtown
POP-00858	Nandini Rojas	Uptown
POP-00859	Tatiana Flores	KONO
POP-00860	Saniya Williams	Rockridge
POP-00861	Aanya Rivera	Lake Merritt
POP-00862	Magdalena Ortiz	Uptown
POP-00863	Charlene Gutierrez	Temescal
POP-00864	Genevieve Martinez	Rockridge
POP-00865	Farah Underwood	West Oakland
POP-00866	Yadira Rao	Chinatown
POP-00867	Makayla Wu	KONO
POP-00868	Chiamaka Zamora	Uptown
POP-00869	Eshe Nakamura	Piedmont Ave
POP-00870	Sabah Cruz	Rockridge
POP-00871	Latasha Owusu	Lake Merritt
POP-00872	Amal Doan	Downtown
POP-00873	Hazel Salazar	Uptown
POP-00874	Nandini Muhammad	Temescal
POP-00875	Inez Diop	Lake Merritt
POP-00876	Jia Carmichael	Fruitvale
POP-00877	Tess Zhou	Laurel
POP-00878	Quynh Le	Jack London
POP-00879	Ruth Gaines	Downtown
POP-00880	Chandni Aguilar	Piedmont Ave
POP-00881	Matilda Okonkwo	Temescal
POP-00882	Basma Inoue	Jack London
POP-00883	Daphne Zamora	Uptown
POP-00884	Inara Nakamura	Piedmont Ave
POP-00885	Bria Ramirez	Rockridge
POP-00886	Keisha Mensah	Lake Merritt
POP-00887	Erica Faulkner	Fruitvale
POP-00888	Funmi Ghosh	Laurel
POP-00889	Noor Ng	KONO
POP-00890	Mireya Pinckney	Downtown
POP-00891	Renée Cabrera	Piedmont Ave
POP-00892	Geneva Zhou	Laurel
POP-00893	Erica Le	Jack London
POP-00894	Maryam Dawson	Downtown
POP-00895	Abigail Aguilar	Piedmont Ave
POP-00896	Habiba Morales	Temescal
POP-00897	Soledad Brown	Lake Merritt
POP-00898	Yolande McAllister	West Oakland
POP-00899	Lucinda Tanaka	KONO
POP-00900	Gauri Han	Jack London
POP-00901	Olive Sanchez	Uptown
POP-00902	Yesenia Desai	Jack London
POP-00903	Tianna Mori	Downtown
POP-00904	Josephine Holloway	Piedmont Ave
POP-00905	Kalyani Alvarez	Temescal
POP-00906	Idalia Okonkwo	Lake Merritt
POP-00907	Jia Reyes	Fruitvale
POP-00908	Cristina Norwood	Chinatown
POP-00909	Nguyet Mukherjee	KONO
POP-00910	Carmen Hong	Jack London
POP-00911	Devika Wu	KONO
POP-00912	Chandni Kessler	Laurel
POP-00913	Beatriz Kapoor	KONO
POP-00914	Soo-jin Pham	Downtown
POP-00915	Tess Whitfield	Piedmont Ave
POP-00916	Jia Pena	Temescal
POP-00917	Josefina Williams	West Oakland
POP-00918	Manju Abebe	Chinatown
POP-00919	Imogen Muhammad	Temescal
POP-00920	Tanisha Salazar	Uptown
POP-00921	Constanza Doan	Downtown
POP-00922	Rasha Brown	Fruitvale
POP-00923	Eshe Norwood	Chinatown
POP-00924	Donna Xu	Downtown
POP-00925	Makayla Hashimoto	Uptown
POP-00926	Briar Soto	Temescal
POP-00927	Farah Vasquez	Rockridge
POP-00928	Genevieve Liu	Lake Merritt
POP-00929	Zaniya Diop	Fruitvale
POP-00930	Margarita Crawford	Laurel
POP-00931	Devika Desai	Jack London
POP-00932	Winifred Chen	West Oakland
POP-00933	Quynh Abebe	Chinatown
POP-00934	Florencia Shah	KONO
POP-00935	Emiko Zhang	Jack London
POP-00936	Karina Lai	Uptown
POP-00937	Manju Crenshaw	Piedmont Ave
POP-00938	Hazel Reed	Rockridge
POP-00939	Saniya Washington	Lake Merritt
POP-00940	Constanza Mensah	Fruitvale
POP-00941	Nadia Alvarez	Piedmont Ave
POP-00942	Zaniya Adams	Rockridge
POP-00943	Pilar Ramirez	Lake Merritt
POP-00944	Basma Bello	Fruitvale
POP-00945	Briar Crawford	Laurel
POP-00946	LaTrice Desai	Jack London
POP-00947	Damaris Murakami	Uptown
POP-00948	Akua Ortiz	Temescal
POP-00949	Noor Gutierrez	Lake Merritt
POP-00950	Mojisola Cook	West Oakland
POP-00951	Niani Oakley	Chinatown
POP-00952	Roberto Iglesias	Fruitvale
POP-00953	Carmen Solis	Fruitvale
POP-00954	Rev. Han	Adams Point
POP-00955	Keisha Morris	West Oakland
POP-00956	Miguel Santos	Fruitvale
POP-00957	David Okonkwo	Lake Merritt
POP-00958	Rafael Phillips	Fruitvale
POP-00959	Dante Nelson	Downtown
POP-00960	Jalen Hill	Jack London
POP-00961	Darius Clark	West Oakland
POP-00962	Marcus Walker	Jack London
POP-00963	Jose Wright	Temescal
POP-00964	Owen Campbell	Jack London
POP-00965	Bruce Wright	Downtown
POP-00966	Marco Johnson	Adams Point
POP-00967	Marco Lopez	Laurel
POP-00968	Jose Johnson	Temescal
POP-00969	Elijah Campbell	Adams Point
POP-00970	Guadalupe Lee	Uptown
POP-00971	Shawn Nguyen	Fruitvale
POP-00972	Elena Reyes	Downtown
POP-00973	Delia Fuentes	Fruitvale
POP-00974	Haruto Liu	Downtown
POP-00975	Salma Navarro	Temescal
POP-00976	Santiago Shelton	Lake Merritt
POP-00977	Mai Tse	Chinatown
POP-00978	Zola Rainey	Downtown
POP-00979	Jasper Whitfield	West Oakland
POP-00980	Karim Avery	Fruitvale
POP-00981	Eleanor Fong	Chinatown
POP-00982	Hazel Lanning	Laurel
POP-00983	Riya Wough	Downtown
POP-00984	Jaylen Cloak	West Oakland
POP-00985	Felix Vasquez	Jack London
POP-00986	Omar Farah	Chinatown
POP-00987	Tomas Beckett	Piedmont Ave
POP-00988	Sefu Helio	Chinatown
POP-00989	Nour Santos	Chinatown
POP-00990	Camila Brooks	Temescal
POP-00991	Tariq Mitchell	Uptown
POP-00992	Sefu Tian	Lake Merritt
POP-00993	Tomas Ochoa	Laurel
POP-00994	Jun Leu	Temescal
POP-00995	Jaylen Eriksson	Fruitvale
POP-00996	Kai Davis	Rockridge
POP-00997	Omar Toto	Lake Merritt
POP-00998	Mariana Kapoor	Chinatown
POP-00999	Yuna Ramas	Lake Merritt
POP-01000	Tariq Cooper	Piedmont Ave
POP-01001	Mateo Jilner	Rockridge
POP-01002	Kwame Jumper	Downtown
POP-01003	Jabari Jack	Uptown
POP-01004	Tunde Nguyen	Downtown
POP-01005	Jun Fisher	Downtown
POP-01006	Santiago Carter	Downtown
POP-01007	Mei Patel	Jack London
POP-01008	Sora Hint	Uptown
POP-01009	Emiliano Fiester	Lake Merritt
POP-01010	Minh Raimon	Temescal
POP-01011	Layla Scott	Lake Merritt
POP-01012	Mateo Wally	Rockridge
POP-01013	Arjun Jessup	Uptown
POP-01014	Sadie Williams	Chinatown
POP-01015	Tunde Silk	Chinatown
POP-01016	Amina Pilgrim	Fruitvale
POP-01017	Valentina Campbell	Jack London
POP-01018	Salma Campbell	Rockridge
POP-01019	Patrick Hill	Laurel
POP-01020	Dr. Brenner	Uptown
POP-01021	Vanessa Tran-Muñoz	Rockridge
POP-01022	Wilson Shepard	Downtown
POP-01023	Adash Stanley	Lake Merritt
POP-01024	AJ Dybantsa	KONO
POP-01025	Dame Sarr	Downtown
POP-01026	Coen Carr	Uptown
POP-01027	Austin Reaves	Downtown
POP-01028	Wendell Carter Jr.	Piedmont Ave
POP-01046	Elliot Abraham	Jack London
POP-01029	Miguel Allen	Fruitvale
POP-01030	Elena Patel	West Oakland
POP-01031	Aaliyah Yamamoto	Uptown
POP-01032	Sakura Foster	Fruitvale
POP-01033	Cedric Nakamura	Uptown
POP-01034	Howard Perez	West Oakland
POP-01035	Kaila Brown	Temescal
POP-01036	Mei Wong	Rockridge
POP-01037	Ivy Tran	Fruitvale
POP-01038	Camila Cook	Rockridge
POP-01039	Ximena Mehta	Lake Merritt
POP-01040	Aaliyah Santos	Uptown
POP-01041	Ronald Williams	Chinatown
POP-01042	Isaac Renteria	Fruitvale
POP-01043	Mei Renteria	Fruitvale
POP-01044	Tobias Ramas	Lake Merritt
POP-01045	Vanessa Ramas	Lake Merritt
POP-01047	Maria Conteras	East Oakland
POP-01048	Maya Cordova	Downtown
POP-01049	Sarah Huang	Lake Merritt
POP-01050	Joyce Tanner	Fruitvale
POP-01051	Thomas Reeves	Fruitvale
POP-01052	Herbert Jones	Jack London
POP-01053	Rosario Medina	Fruitvale
POP-01054	Delia Vargas-Ruiz	San Antonio
POP-01055	Jerome Pittman	East Oakland
POP-01056	Theo Banks	Uptown
POP-01057	Nina Reyes	Fruitvale
POP-01058	Jordan Steele	Lake Merritt
POP-01059	Brody Kale	Laurel
POP-01060	Yvonne Hayes	West Oakland
POP-01061	Celeste Moon	KONO
POP-01062	Marisol Rivera	Rockridge
POP-01063	Alma Vasquez	Laurel
POP-01064	Pixel Pete	Rockridge
POP-01065	GameGirl Gia	Jack London
POP-01066	Dante Reyes	Jack London
POP-01067	Sienna Vale	Laurel
POP-01068	Kai Tanaka	Fruitvale
POP-01069	James Williams	West Oakland
POP-01070	Rosa Martinez	Downtown
POP-01071	Claire Ashford	Piedmont Ave
POP-01072	Lumi Crest	Rockridge
POP-01073	Li Wei	Fruitvale
POP-01074	Denise Simmons	Rockridge
POP-01075	Marcus Duval	Laurel
POP-01076	Nia Rook	West Oakland
POP-01077	Rafael Phillips	Rockridge
POP-01078	Pablo Almanzar	Jack London
POP-01079	Dillon Brooks	Uptown
